256,65534,0,432,19,216,333
257,65534,195,432,19,216,333
336,65534,243,432,19,216,333
337,65534,49,432,19,216,333
340,57343,205,432,19,216,333
2407,57341,33,432,19,216,333
2410,57341,1,432,19,216,49152
2413,57341,175,432,8096,216,49152
2414,57341,34,128,8096,216,49152
2415,57341,11,128,8096,216,49153
2416,57341,120,128,8095,216,49153
2417,57341,177,8064,8095,216,49153
2418,57341,32,40704,8095,216,49153
2413,57341,175,40704,8095,216,49153
2414,57341,34,128,8095,216,49153
2415,57341,11,128,8095,216,49154
2416,57341,120,128,8094,216,49154
2417,57341,177,8064,8094,216,49154
2418,57341,32,40704,8094,216,49154
2413,57341,175,40704,8094,216,49154
2414,57341,34,128,8094,216,49154
2415,57341,11,128,8094,216,49155
2416,57341,120,128,8093,216,49155
2417,57341,177,8064,8093,216,49155
2418,57341,32,40704,8093,216,49155
2413,57341,175,40704,8093,216,49155
2414,57341,34,128,8093,216,49155
2415,57341,11,128,8093,216,49156
2416,57341,120,128,8092,216,49156
2417,57341,177,8064,8092,216,49156
2418,57341,32,40704,8092,216,49156
2413,57341,175,40704,8092,216,49156
2414,57341,34,128,8092,216,49156
2415,57341,11,128,8092,216,49157
2416,57341,120,128,8091,216,49157
2417,57341,177,8064,8091,216,49157
2418,57341,32,40704,8091,216,49157
2413,57341,175,40704,8091,216,49157
2414,57341,34,128,8091,216,49157
2415,57341,11,128,8091,216,49158
2416,57341,120,128,8090,216,49158
2417,57341,177,8064,8090,216,49158
2418,57341,32,40704,8090,216,49158
2413,57341,175,40704,8090,216,49158
2414,57341,34,128,8090,216,49158
2415,57341,11,128,8090,216,49159
2416,57341,120,128,8089,216,49159
2417,57341,177,8064,8089,216,49159
2418,57341,32,40704,8089,216,49159
2413,57341,175,40704,8089,216,49159
2414,57341,34,128,8089,216,49159
2415,57341,11,128,8089,216,49160
2416,57341,120,128,8088,216,49160
2417,57341,177,8064,8088,216,49160
2418,57341,32,40704,8088,216,49160
2413,57341,175,40704,8088,216,49160
2414,57341,34,128,8088,216,49160
2415,57341,11,128,8088,216,49161
2416,57341,120,128,8087,216,49161
2417,57341,177,8064,8087,216,49161
2418,57341,32,40704,8087,216,49161
2413,57341,175,40704,8087,216,49161
2414,57341,34,128,8087,216,49161
2415,57341,11,128,8087,216,49162
2416,57341,120,128,8086,216,49162
2417,57341,177,8064,8086,216,49162
2418,57341,32,40704,8086,216,49162
2413,57341,175,40704,8086,216,49162
2414,57341,34,128,8086,216,49162
2415,57341,11,128,8086,216,49163
2416,57341,120,128,8085,216,49163
2417,57341,177,8064,8085,216,49163
2418,57341,32,40704,8085,216,49163
2413,57341,175,40704,8085,216,49163
2414,57341,34,128,8085,216,49163
2415,57341,11,128,8085,216,49164
2416,57341,120,128,8084,216,49164
2417,57341,177,8064,8084,216,49164
2418,57341,32,40704,8084,216,49164
2413,57341,175,40704,8084,216,49164
2414,57341,34,128,8084,216,49164
2415,57341,11,128,8084,216,49165
2416,57341,120,128,8083,216,49165
2417,57341,177,8064,8083,216,49165
2418,57341,32,40704,8083,216,49165
2413,57341,175,40704,8083,216,49165
2414,57341,34,128,8083,216,49165
2415,57341,11,128,8083,216,49166
2416,57341,120,128,8082,216,49166
2417,57341,177,8064,8082,216,49166
2418,57341,32,40704,8082,216,49166
2413,57341,175,40704,8082,216,49166
2414,57341,34,128,8082,216,49166
2415,57341,11,128,8082,216,49167
2416,57341,120,128,8081,216,49167
2417,57341,177,8064,8081,216,49167
2418,57341,32,40704,8081,216,49167
2413,57341,175,40704,8081,216,49167
2414,57341,34,128,8081,216,49167
2415,57341,11,128,8081,216,49168
2416,57341,120,128,8080,216,49168
2417,57341,177,8064,8080,216,49168
2418,57341,32,40704,8080,216,49168
